prefix	input_text	target_text
Data	إِلَّا أَنَّ الرُّوحَ يُعْلِنُ صَرَاحَةً أَنَّ قَوْماً فِي الأَزْمِنَةِ الأَخِيرَةِ سَوْفَ يَرْتَدُّونَ عَنِ الإِيمَانِ، مُنْسَاقِينَ وَرَاءَ أَرْوَاحٍ مُضَلِّلَةٍ وَتَعَالِيمَ شَيْطَانِيَّةٍ،	ⲡⲓⲡ͞ⲛⲁ̅ ⲇⲉ ⲉϥϫⲱ ⳿ⲙⲙⲟⲥ ⲣⲏⲧⲟⲥ ϫⲉ ϧⲉⲛ ⲛⲓ⳿ⲉϩⲟⲟⲩ ⳿ⲛϧⲁ⳿ⲉ ⲉⲣⲉ ϩⲁⲛⲟⲩⲟⲛ ϩⲉⲛⲟⲩ ⲥⲁⲃⲟⲗ ⳿ⲙ⳿ⲫⲛⲁϩϯ ⲉⲩϯ ⳿ⲛ⳿ϩⲑⲏⲟⲩ ⳿ⲉϩⲁⲛⲡ͞ⲛⲁ̅ ⳿ⲙ⳿ⲡⲗⲁⲛⲟⲥ ⲛⲉⲙ ϩⲁⲛⲥⲁϫⲓ ⳿ⲛⲇⲉⲙⲱⲛ.
Data	أَمَّا أَنْتَ، فَعِنْدَمَا تَتَصَدَّقُ عَلَى أَحَدٍ، فَلاَ تَدَعْ يَدَكَ الْيُسْرَى تَعْرِفُ مَا تَفْعَلُهُ الْيُمْنَى.	⳿ⲛⲑⲟⲕ ⲇⲉ ⲉⲕⲛⲁ⳿⳿ⲓⲣⲓ ⳿ⲛⲟⲩⲙⲉⲑⲛⲁⲏⲧ ⳿ⲙⲡⲉⲛ⳿ⲑⲣⲉ ⲧⲉⲕϫⲁϭⲏ ⳿ⲉⲙⲓ ϫⲉ ⲟⲩ ⲡⲉ ⳿ⲉⲧⲉ ⲧⲉⲕⲟⲩ⳿ⲓⲛⲁⲙ ⳿⳿ⲓⲣⲓ ⳿ⲙⲙⲟϥ.
Data	تَنْبَعِثُ مِنْهُ أَنْوَارٌ كَأَنَّهَا صَادِرَةٌ مِنْ لَمَعَانِ الْيَشْبِ وَالْعَقِيقِ الأَحْمَرِ. وَحَوْلَ الْعَرْشِ قَوْسُ قُزَحَ يَلْمَعُ كَأَنَّهُ الزُّمُرُّدُ.	ⲟⲩⲟϩ ⲫⲏⲉⲧϩⲉⲙⲥⲓ ϩⲓ ⳿ⲡ⳿ⲑⲣⲟⲛⲟⲥ ⲛⲁϥⲟⲓ ⳿ⲛⲟⲩⲱⲓⲛⲓ ⲡⲉ ⳿ⲛⲓⲁⲥⲡⲓⲥ ⲛⲉⲙ ⲟⲩⲥⲁⲣⲇⲓⲛⲟⲥ ⲟⲩⲟϩ ϯ⳿ⲓⲣⲓⲥ ⲉⲥⲕⲱϯ ⳿ⲉⲡⲓ⳿ⲑⲣⲟⲛⲟⲥ ⲉϥⲟⲓ ⳿ⲛⲟⲩⲱⲓⲛⲓ ⳿ⲛ⳿ⲥⲙⲁⲣⲁⲕⲇⲟⲥ.
Data	وَفِيمَا كَانَ يَسُوعُ وَتَلاَمِيذُهُ يُغَادِرُونَ أَرِيحَا، تَبِعَهُ جَمْعٌ كَبِيرٌ.	ⲉϥⲛⲏⲟⲩ ⲇⲉ ⳿ⲉⲃⲟⲗϧⲉⲛ Ⲓⲉⲣⲓⲭⲱ ⲁⲩⲙⲟϣⲓ ⳿ⲛⲥⲱϥ ⳿ⲛϫⲉ ⲟⲩⲛⲓϣϯ ⳿ⲙⲙⲏϣ.
Data	لأَنَّهُ حَدَّدَ يَوْماً يَدِينُ فِيهِ الْعَالَمَ بِالْعَدْلِ عَلَى يَدِ رَجُلٍ اخْتَارَهُ لِذَلِكَ. وَقَدْ قَدَّمَ لِلْجَمِيعِ بُرْهَاناً، إِذْ أَقَامَهُ مِنْ بَيْنِ الأَمْوَاتِ».	ⲕⲁⲧⲁ⳿ⲫⲣⲏϯ ϫⲉ ⲁϥⲥⲉⲙⲛⲉ ⲟⲩ⳿ⲉϩⲟⲟⲩ ⲉϥⲛⲁϯϩⲁⲡ ⳿ⲉϯⲟⲓⲕⲟⲩⲙⲉⲛⲏ ⳿ⲛϧⲏⲧϥ ϧⲉⲛ ⲟⲩⲙⲉⲑⲙⲏⲓ ⳿ⲉⲃⲟⲗϩⲓⲧⲉⲛ ⲡⲓⲣⲱⲙⲓ ⳿ⲉⲧⲁϥⲑⲁϣϥ ⳿ⲉⲁϥϯ ⳿ⲙ⳿ⲫⲛⲁϩϯ ⳿ⲛⲟⲩⲟⲛ ⲛⲓⲃⲉⲛ ⳿ⲉⲁϥⲧⲟⲩⲛⲟⲥϥ ⳿ⲉⲃⲟⲗϧⲉⲛ ⲛⲏⲉⲑⲙⲱⲟⲩⲧ ..
Data	وَلَمَّا وصَلَ إِلَى الْهَيْكَلِ وَأَخَذَ يُعَلِّمُ، تَقَدَّمَ إِلَيْهِ رُؤَسَاءُ الْكَهَنَةِ وَشُيُوخُ الشَّعْبِ، وَسَأَلُوهُ: «بِأَيَّةِ سُلْطَةٍ تَفْعَلُ مَا تَفْعَلُهُ؟ وَمَنْ مَنَحَكَ هَذِهِ السُّلْطَةَ؟»	ⲟⲩⲟϩ ⳿ⲉⲧⲁϥ⳿ⲓ ⳿ⲉϧⲟⲩⲛ ⳿ⲉⲡⲓⲉⲣⲫⲉⲓ ⲁⲩ⳿ⲓ ϩⲁⲣⲟϥ ⲉϥϯ⳿ⲥⲃⲱ ⳿ⲛϫⲉ ⲛⲓⲁⲣⲭⲏ⳿ⲉⲣⲉⲩⲥ ⲛⲉⲙ ⲛⲓ⳿ⲡⲣⲉⲥⲃⲩⲧⲉⲣⲟⲥ ⳿ⲛⲧⲉ ⲡⲓⲗⲁⲟⲥ ⲉⲩϫⲱ ⳿ⲙⲙⲟⲥ ϫⲉ ⲁⲕ⳿⳿ⲓⲣⲓ ⳿ⲛⲛⲁⲓ ϧⲉⲛ ⲁϣ ⳿ⲛⲉⲣϣⲓϣⲓ ⲟⲩⲟϩ ⲛⲓⲙ ⲡⲉⲧⲁϥϯ ⳿ⲙⲡⲁⲓⲉⲣϣⲓϣⲓ ⲛⲁⲕ.
Data	فَقَالَ: «قُلْتُ لَكُمْ: أَنَا هُوَ، فَإِنْ كُنْتُمْ تُرِيدُونَنِي أَنَا، فَدَعُوا هؤُلاَءِ يَذْهَبُونَ».	ⲁϥⲉⲣⲟⲩⲱ ⳿ⲛϫⲉ Ⲓⲏ̅ⲥ̅ ϫⲉ ⲁⲓϫⲟⲥ ⲛⲱⲧⲉⲛ ϫⲉ ⳿ⲁⲛⲟⲕ ⲡⲉ ⲓⲥϫⲉ ⲁⲣⲉⲧⲉⲛⲕⲱϯ ⳿ⲛⲥⲱⲓ ⲭⲁ ⲛⲁⲓ ⳿ⲉⲃⲟⲗ ⲙⲁⲣⲟⲩϣⲉ ⲛⲱⲟⲩ.
Data	وَقَالَ لَهُ وَاحِدٌ مِنْ بَيْنِ الْجَمْعِ: «يَامُعَلِّمُ، قُلْ لأَخِي أَنْ يُقَاسِمَنِي الإِرْثَ!»	ⲡⲉϫⲉ ⲟⲩⲁⲓ ⲇⲉ ⲛⲁϥ ⳿ⲉⲃⲟⲗ ϧⲉⲛ ⲓⲙⲏϣ ϫⲉ ⲡⲓⲣⲉϥϯ⳿ⲥⲃⲱ ⳿ⲁϫⲟⲥ ⳿ⲙⲡⲁⲥⲟⲛ ⲉⲑⲣⲉϥⲫⲱϣ ⳿ⲉ⳿ϩⲣⲁϥ ⲛⲉⲙⲏⲓ ⳿ⲛϯ⳿ⲕⲗⲏⲣⲟⲛⲟⲙⲓ⳿ⲁ.
Data	وَتَصَدَّى لَهُ بَعْضُ الصَّدُّوقِيِّينَ الَّذِينَ يُنْكِرُونَ أَمْرَ الْقِيَامَةِ، وَسَأَلُوهُ قَائِلِينَ:	ⲉⲧⲁⲩ⳿ⲓ ⲇⲉ ⳿ⲛϫⲉ ϩⲁⲛⲟⲩⲟⲛ ⳿ⲛϫⲉ ϩⲁⲛⲥⲁⲇⲇⲟⲩⲕⲉⲟⲥ ⲛⲏⲉⲧϫⲱ ⳿ⲙⲙⲟⲥ ϫⲉ ⳿ⲙⲙⲟⲛ ⲁⲛⲁⲥⲧⲁⲥⲓⲥ ⲁⲩϣⲉⲛϥ.
Data	كَمْ أَشْكُرُ اللهَ، الَّذِي أَعْبُدُهُ بِضَمِيرٍ طَاهِرٍ كَمَا أَخَذْتُ عَنْ أَجْدَادِي، إِذْ مَازِلْتُ أَذْكُرُكَ دَائِماً فِي تَضَرُّعَاتِي لَيْلاً وَنَهَاراً؛	ϯϣⲉⲡ⳿ϩⲙⲟⲧ ⳿ⲛⲧⲉⲛ ⲫϯ ⳿ⲉϯϣⲉⲙϣⲓ ⳿ⲙⲙⲟϥ ⲓⲥϫⲉⲛ ϩⲏ ⳿ⲛⲛⲁⲓⲟϯ ϧⲉⲛ ⲟⲩⲥⲩⲛⲏⲇⲉⲥⲓⲥ ⲉⲥⲟⲩⲁⲃ ϩⲱⲥ ⲉⲓ⳿⳿ⲓⲣⲓ ⳿ⲙⲡⲉⲕⲙⲉⲩⲓ ϧⲉⲛ ⲟⲩⲙⲉⲧⲁⲑⲙⲟⲩⲛⲕ ⳿ⲛ⳿ϩⲣⲏⲓ ϧⲉⲛ ⲛⲁⲧⲱⲃϩ ⳿ⲛϫⲱⲣϩ ⲛⲉⲙ ⲙⲉⲣⲓ.
Data	فَأَيْنَ، يَامَوْتُ، شَوْكَتُكَ؟ وَأَيْنَ، يَامَوْتُ نَصْرُكَ؟	ⲁⲥⲑⲱⲛ ⲡⲉ⳿ϭⲣⲟ ⲁⲙⲉⲛϯ ⲁⲥⲑⲱⲛ ⲧⲉⲕⲥⲟⲩⲣⲓ ⳿ⲫⲙⲟⲩ..
Data	فَإِنْ كُنْتُمْ لاَ تَتَلَقَّوْنَ التَّأْدِيبَ الَّذِي يَشْتَرِكُ فِيهِ أَبْنَاءُ اللهِ جَمِيعاً، فَمَعْنَى ذَلِكَ أَنَّكُمْ لَسْتُمْ أَبْنَاءَ شَرْعِيِّينَ لَهُ.	ⲓⲥϫⲉ ⲧⲉⲧⲉⲛⲭⲏ ⲥⲁⲃⲟⲗ ⳿ⲛϯ⳿ⲥⲃⲱ ⲑⲏ ⲉⲧⲁⲩⲉⲣ⳿ϣⲫⲏⲣ ⳿ⲉⲣⲟⲥ ⲧⲏⲣⲟⲩ ϩⲁⲣⲁ ⳿ⲛⲑⲱⲧⲉⲛ ϩⲁⲛϣⲏⲣⲓ ⳿ⲛⲛⲟⲩϫ ⲟⲩⲟϩ ⳿ⲛⲑⲱⲧⲉⲛ ϩⲁⲛϣⲏⲣⲓ ⲁⲛ.
Data	وَإِذْ كَانَ يَسُوعُ فِي بَيْتِ عَنْيَا عِنْدَ سِمْعَانَ الأَبْرَصِ،	Ⲓⲏ̅ⲥ̅ ⲇⲉ ⲉϥⲭⲏ ϧⲉⲛ Ⲃⲏⲑⲁⲛⲓ⳿ⲁ ϧⲉⲛ ⳿ⲡⲏⲓ ⳿ⲛⲤⲓⲙⲱⲛ ⲡⲓⲕⲁⲕⲥⲉϩⲧ.
Data	فَذَهَبَ التِّلْمِيذَانِ اللَّذَانِ أُرْسِلاَ فِي طَرِيقِهِمَا وَوَجَدَا كَمَا قَالَ الرَّبُّ لَهُمَا.	ⲉⲧⲁⲩϣⲉ ⲛⲱⲟⲩ ⲇⲉ ⳿ⲛϫⲉ ⲛⲏⲉⲧⲁⲩⲟⲩⲟⲣⲡⲟⲩ ⲁⲩϫⲓⲙⲓ ⲕⲁⲧⲁ ⲫⲣⲏϯ ⲉⲧⲁϥϫⲟⲥ ⲛⲱⲟⲩ.
Data	وَإِذْ رَفَعَ عَيْنَيْهِ وَهُوَ فِي الْهَاوِيَةِ يَتَعَذَّبُ، رَأَى إِبْرَاهِيمَ مِنْ بَعِيدٍ وَلِعَازَرَ فِي حِضْنِهِ.	ⲟⲩⲟϩ ⳿ⲛ⳿ϧⲣⲏⲓ ϧⲉⲛ ⲁⲙⲉⲛϯ ⲉⲧⲁϥϥⲁⲓ ⳿ⲛⲛⲉϥⲃⲁⲗ ⳿ⲉ⳿ⲡϣⲱⲓ ⲉϥⲭⲏ ⲉⲛ ϩⲁⲛ⳿ⲙⲕⲁⲩϩ ⲁϥⲛⲁⲩ ⳿ⲉⲁⲃⲣⲁⲁⲙ ϩⲓ⳿ⲫⲟⲩⲉⲓ ⲟⲩⲟϩ ⲗⲁⲍⲁⲣⲟⲥ ϧⲉⲛ ⲕⲉⲛϥ.
Data	وَالآبُ لاَ يُحَاكِمُ أَحَداً، بَلْ أَعْطَى الاِبْنَ سُلْطَةَ الْقَضَاءِ كُلَّهَا،	ⲟⲩ ⲅⲁⲣ ⳿ⲫⲓⲱⲧ ⳿ϥⲛⲁϯϩⲁⲡ ⳿ⲉ⳿ϩⲗⲓ ⲁⲛ ⲁⲗⲗⲁ ⲡⲓϩⲁⲡ ⲧⲏⲣϥ ⲁϥⲧⲏⲓϥ ⳿ⲙⲡⲓϣⲏⲣⲓ.
Data	فَقَالَ لَهُ بِيلاَطُسُ: «أَمَا تَسْمَعُ مَا يَشْهَدُونَ بِهِ عَلَيْكَ؟»	ⲧⲟⲧⲉ ⲡⲉϫⲉ Ⲡⲓⲗⲁⲧⲟⲥ ⲛⲁϥ ϫⲉ ⳿ⲛ⳿ⲕⲥⲱⲧⲉⲙ ⲁⲛ ϫⲉ ⲥⲉⲉⲣⲙⲉⲑⲣⲉ ϧⲁⲣⲟⲕ ⳿ⲛⲟⲩⲏⲣ.
Data	«أَعْمَى عُيُونَهُمْ وَقَسَّى قُلُوبَهُمْ، لِئَلاَّ يُبْصِرُوا بِعُيُونِهِمْ وَيَفْهَمُوا بِقُلُوبِهِمْ، وَيَتُوبُوا فَأَشْفِيَهُمْ».	ϫⲉ ⲁϥⲑⲱⲙ ⳿ⲛⲛⲟⲩⲃⲁⲗ ⲟⲩⲟϩ ⲁϥⲑⲱⲙ ⳿ⲙⲡⲟⲩϩⲏⲧ ϩⲓⲛⲁ ⳿ⲛⲧⲟⲩ⳿ϣⲧⲉⲙⲛⲁⲩ ⳿ⲛⲛⲟⲩⲃⲁⲗ ⲟⲩⲟϩ ⳿ⲛⲧⲟⲩ⳿ϣⲧⲉⲙⲕⲁϯ ϧⲉⲛ ⲡⲟⲩϩⲏⲧ ⲟⲩⲟϩ ⳿ⲛⲧⲟⲩⲕⲟⲧⲟⲩ ϩⲁⲣⲟⲓ ⳿ⲛⲧⲁⲧⲟⲩϫⲱⲟⲩ.
Data	فَإِنِّي أَقُولُ إِنَّ الْمَسِيحَ صَارَ خَادِمَ أَهْلِ الْخِتَانِ إِظْهَاراً لِصِدْقِ اللهِ وَتَوْطِيداً لِوُعُودِهِ لِلآبَاءِ،	ϯϫⲱ ⲅⲁⲣ ⳿ⲙⲙⲟⲥ ϫⲉ Ⲡⲭ̅ⲥ̅ ⲁϥϣⲱⲡⲓ ⳿ⲛⲟⲩⲇⲓ⳿ⲁⲕⲱⲛ ⳿ⲛⲧⲉ ⳿ⲡⲥⲉⲃⲓ ⳿ⲉϫⲉⲛ ϯⲙⲉⲑⲛⲏⲓ ⳿ⲛⲧⲉ ⲫϯ ϫⲉⲭⲁⲥ ⲉϥ⳿ⲉⲧⲁϫⲣⲉ ⲛⲓⲱϣ ⳿ⲛⲧⲉ ⲛⲓⲓⲟϯ.
Data	فَفِيهِ سُرَّ اللهُ أَنْ يَحِلَّ بِكُلِّ مِلْئِهِ،	ϫⲉ ⳿ⲛ⳿ϧⲣⲏⲓ ⳿ⲛϧⲏⲧϥ ⲁϥϯⲙⲁϯ ⳿ⲛϫⲉ ⲡⲓⲙⲟϩ ⲧⲏⲣϥ ⳿ⲉϣⲱⲡⲓ ⳿ⲛϧⲏⲧϥ.
Data	فَإِذَا كَانَتِ الْمَرْأَةُ لاَ تُغَطِّي رَأْسَهَا، فَلْيُقَصَّ شَعْرُهَا! وَلَكِنْ، مَادَامَ مِنَ الْعَارِ عَلَى الْمَرْأَةِ أَنْ يُقَصَّ شَعْرُهَا أَوْ يُحْلَقَ، فَلْتُغَطِّ رَأْسَهَا.	ⲓⲥϫⲉ ⲅⲁⲣ ⳿ⲙⲙⲟⲛ ⲟⲩ⳿ⲥϩⲓⲙⲓ ⲛⲁϩⲉⲃⲥ ϫⲱⲥ ⲓⲉ ⲙⲁⲣⲉⲥϧⲟⲕϩϥ ⲓⲥϫⲉ ⲇⲉ ⲟⲩϣⲱϣ ⲡⲉ ⳿ⲛⲟⲩ⳿ⲥϩⲓⲙⲓ ⳿ⲉϫⲉⲃⲥ ϫⲱⲥ ⲓⲉ ⳿ⲉϧⲟⲕϩϥ ⲓⲉ ⲙⲁⲣⲉⲥϩⲉⲃⲥ ϫⲱⲥ..
Data	رَآهُ يَسُوعُ رَاقِداً هُنَاكَ فَعَرَفَ أَنَّ مُدَّةً طَوِيلَةً انْقَضَتْ وَهُوَ عَلَى تِلْكَ الْحَالِ، فَسَأَلَهُ: «أَتُرِيدُ أَنْ تُشْفَى؟»	ⲉⲧⲁϥⲛⲁⲩ ⲇⲉ ⳿ⲉⲫⲁⲓ ⳿ⲛϫⲉ Ⲓⲏ̅ⲥ̅ ⲉϥ⳿ⲛⲕⲟⲧ ⲟⲩⲟϩ ⲉⲧⲁϥ⳿ⲉⲙⲓ ϫⲉ ⲁϥⲉⲣ ⲟⲩⲙⲏϣ ⳿ⲛ⳿ⲭⲣⲟⲛⲟⲥ ⲟⲩⲟϩ ⲡⲉϫⲁϥ ⲛⲁϥ ϫⲉ ⳿ⲭⲟⲩⲱϣ ⳿ⲉⲟⲩϫⲁⲓ.
Data	فَأَجَابَهُمْ: «أَيُّ وَاحِدٍ مِنْكُمْ يَكُونُ عِنْدَهُ خَرُوفٌ وَاحِدٌ، فَإِذَا وَقَعَ فِي حُفْرَةٍ يَوْمَ سَبْتٍ، أَفَلاَ يُمْسِكُهُ وَيُخْرِجُهُ؟	⳿ⲛⲑⲟϥ ⲇⲉ ⲡⲉϫⲁϥ ⲛⲱⲟⲩ ϫⲉ ⲛⲓⲙ ⳿ⲛⲣⲱⲙⲓ ⲉⲧϧⲉⲛ ⲑⲏⲛⲟⲩ ⳿ⲉⲧⲉ ⲟⲩⲟⲛⲧⲉϥ ⲟⲩ⳿ⲉⲥⲱⲟⲩ ⳿ⲙⲙⲁⲩ ⲟⲩⲟϩ ⳿ⲛⲧⲉ ⲫⲁⲓ ϩⲉⲓ ⳿ⲉⲟⲩϣⲓⲕ ϧⲉⲛ ⳿ⲡⲥⲁⲃⲃⲁⲧⲟⲛ ⲙⲏ ⳿ϥⲛⲁ⳿ⲁⲙⲟⲛⲓ ⳿ⲙⲙⲟϥ ⲁⲛ ⳿ⲛⲧⲉϥⲧⲟⲩⲛⲟⲥϥ.
Data	فَاطْمَئِنُّوا أَيُّهَا الرِّجَالُ، لأَنِّي أُومِنُ بِاللهِ وَبِأَنَّ مَا قَالَهُ لِي سَيَتِمُّ.	ⲉⲑⲃⲉ ⲫⲁⲓ ⲛⲓⲣⲱⲙⲓ ⲟⲩⲛⲟϥ ⳿ⲛϩⲏⲧ ϯⲛⲁϩϯ ⲅⲁⲣ ⳿ⲉⲫϯ ϫⲉ ⲥⲉⲛⲁϣⲱⲡⲓ ⳿ⲙ⳿ⲫⲣⲏϯ ⳿ⲉⲧⲁⲩⲥⲁϫⲓ ⲛⲉⲙⲏⲓ ..
